text,target
"Powerful essay on how upsetting it is to read Euripides now, and the difference between reading and activism.  ""Read Eur…",0
"Andromache to her son before he's taken away forever:

Child, are you crying? Do you understand?
Why are you clinging, c…",0
"Hecuba knows that the administration took away her baby grandson because they were scared of him.  ""This tiny body frigh…",0
"Tune into  at 5:30 PM EST to hear ARK Analyst, , weigh in on Tesla earnings with ! https:/…",0
"How to watch OpenAI Five Benchmark:

- OpenAI Benchmark will be livestreamed in English, Russian, and Chinese
- Stream starts 12:3…",0
Check out the summary video of our upcoming  publication: “Learning Synergies between Pushing and Grasping wi…,0
Tesla's autonomous computational hardware is 3 years ahead of any other automotive manufacturer.,0
"A pleasure to host Dr. Sumit Goswami, Counsellor (Defense Technology &amp; S&amp;T) Embassy of India, discuss our IIFC collaborati…",0
"Flying on the first crewed test flight of ’s #Starliner spacecraft will be ,  &amp; . Afte…",0
The first regular mission of ’s #CrewDragon spacecraft will carry  &amp;  to the  where t…,0
Ain’t nothing better than a Brooklyn show followed by a dirty street gyro  black_heart u NYC,0
Stayed up late last night integrating 's awesome new OpenAI Five logo into the Dota UI. Some features are just worth stay…,0
heading to Atlantic city for the first time ever and excited about it,0
Revealed: OpenAI Five now supports drafting. Adds a new layer of dynamism to the game! Very excited to see how these top 99.95th p…,0
"Humans call gg (good game, resigning the game)!!!!! OpenAI Five wins game number one versus top 99.95th percentile Dota players.",0
Humans call gg for game 2!!!! OpenAI Five has won a best of three vs top 99.95th percentile of Dota players. Extremely good play b…,0
This time: Twitch chat and audience will pick the heroes that OpenAI Five plays. Expecting an adversarial lineup. Should be intere…,0
Win probabilities revealed now: Five thinks it has a 2.9% chance of winning after audience adversarially picks its hero lineup. Cr…,0
OpenAI Five declares the win probability to be less than 1%. This is the closest thing to a gg that they do!!! Great plays by the…,0
And that’s game!!!!! Humans win game 3! Congratulations to  and friends!!!!,0
"Exciting match today! OpenAI Five won first 2 games, and humans won 1 with the audience picking the draft in favor of the humans.…",0
"Foreign aid is one of the best investments that the U.S. can make. Now is the time to strengthen programs like 
. htt…",0
" Very excited to say that there are now at least 11 implementations of NAC/NALU on  (2 trending!!), and one…",0
"America’s wind industry supports more than 100,000 American jobs at over 500 facilities across the country. Wind energy…",0
"First objective testing of lane-keeping (and other level 2 autonomous features) that I've seen.

Tesla Model 3 lane-keeping…",0
"""If we were not so single-minded
about keeping our lives moving,
and for once could do nothing,
perhaps a huge silence
mig…",0
"This is the first thing
I have understood:
Time is the echo of an axe
Within a wood.

—Philip Larkin, born #OTD in 1922 https…",0
"#Space isn’t just promising life on mars, it’s improving life on earth! Listen as ARK Industrial #Innovation Analyst, …",0
Thanks  for visiting. Looking forward to partnering with  and Daresbury Lab on PIP-II HB650 Cr…,0
"Hours before the rise of the very star it will study, our #ParkerSolarProbe spacecraft launched from  at 3:31am ET to…",0
"On sim2real and depth from mono, cool #ECCV2018 paper combining both ideas (using my vkitti dataset!): T2Net: Synthetic-to-R…",0
"Exploration to the Moon and Mars will expose astronauts to five known hazards of spaceflight, including isolation and confinement…",0
"NASA Astronaut Ed White made history on June 3, 1965, when he floated out of the hatch of his Gemini 4 capsule into th…",0
Looking for Dota teams with average MMR 6k+ to test the latest version of OpenAI Five. This week &amp; weekend only! Please ping brook…,0
Always exciting to see innovative ideas like the proposed Dugout Loop to  Stadium that could help ease congestion on…,0
"BREAKING: ’s  will build a 3.6 mile tunnel from East Hollywood to Dodger Stadium that can carry 1,…",0
LA County is at the forefront of new technology &amp; #greenjobs. I look forward to seeing this new tunnel take riders to …,0
"The Boring Co. announces plans to build ""Dugout Loop"" transit system between Dodger Stadium and Red Line. The more mob…",0
Details on Elon Musk’s promise to build a high speed transportation system that would reduce a fan’s ride to Dodger Stadi…,0
"Christmas came early. Thanks for the $5 missing propane tank sorry note   

I’ll be framing it next…",0
Defeating traffic is the ultimate boss battle,0
"To educate girls is
to reduce poverty.
                        (Kofi Annan)
May his noble soul rest in peace. Ameen",0
"In hundred_points days, I’m scheduled to land on #Mars. My touchdown is set for November 26, making the days around the Thanksgiving ho…",0
"In 1936 our founder asked Amelia Earhart to share her favorite poem. She responded, “I should feel a traitor to my personal d…",0
   Will the service providers subsidize the costs to access Tesla Nation Citizens?  And what data or…,0
"After #AtlasNet, exciting to go at #ECCV18 to present ideas about finding correspondences in 3D shapes with: ""3D-CODED…",0
You KNOW how I feel about the brilliant  raising_hands_light_skin_toneraising_hands_light_skin_toneraising_hands_light_skin_tone and the incredible young girl activists she works hard to suppor…,0
"Astronauts on Apollo 8 captured the first “Earthrise,” and now, astronauts on the space station capture Earth’s lights,…",0
Fresh off the press! Download ARK's newest white paper on #CRISPR Genome-Editing: Market Opportunity and Key Players. https:…,0
"Congratulations to Team paiN, the Dota 2 pro team who just beat OpenAI Five in a 51 minute game. Lots of extremely exciting plays…",0
"John Anderson presents ""Safety by Design"" in the PIP-II All Hands today. Excellent start for a critically important topic.…",0
"It’s on! The PIP-II project  has been greenlighted by the American Department of Energy. 
Its purpose : to upgrade…",0
"Congratulations to Xiao8, BurNIng, rOtK, Ferrari_430, SanSheng — top-tier Dota players who defeated OpenAI Five after 45 mins of e…",0
"Here's a sneak peek at our new Federated Learning interfaces using  and PySyft. 

Try Federated Learning Using Op…",0
OH: “I think in 10 years tech billionaires will be buying esports teams in the same way oil billionaires buy basketball teams now”,0
Few poems in 20th (or any century) so important as this for both their literary merit and a particular political invocation…,0
"Grant Hammond, a long-time associate of Boyd’s and the author of The Mind of War, John Boyd and American Security (Smithsonia…",0
"So many of us come from water
but when you come from water
no one believes you.
Colonization keeps laughing.
Global warming…",0
"First day of international Cryomodule Workshop at BARC. Great DAE Conference Center, excellent program by IIFC. Sergey K t…",0
"In her guest editor's note,  wrote about what this publication means to her: ""I love that Assembly offers gi…",0
We've published  code of Differentiable RANSAC for a toy problem: fitting lines. A CNN learns to predict points…,0
We all love those happy squeaks and giggles from the slimes of #SlimeRancher by  - hear them like never befor…,0
Our team is at #ECCV2018 this week to share work on end to end deep learning algorithms for self driving cars. Get in touch w…,0
"2016: nVidia introduces the drive PX 2, a 16 tera-op liquid-cooled supercomputer for the car to enable autonomous capability…",0
I’ll see y’all on movies screens starting this Friday! Get there early to watch the new episode of #ReelFood. I’m making…,0
new: 5 times more migrant children are in federal custody than last summer -- shelter operators say it's straining the sy…,0
"How about this for #TBT? You know the names, but do you know the faces? Tomorrow, it's  and  in…",0
"""So Matilda’s strong young mind continued to grow, nurtured by the voices of all those authors who had sent their books out int…",0
More cool news! Just released a pretty huge / codebase for experiments on sentence representations…,0
"Legendary Lauren Bacall was born Betty Joan Perske in NYC on this day in 1924. When her parents divorced, she took her…",0
An important part of astronaut training – taste testing!  astronauts try space food options and choose it…,0
"ProTip: Anytime you get new gear that has an AC adapter of any kind on it, grab a silver Sharpie and write the device on tha…",0
We're looking for interns to join us over winter to contribute to our team. Get in touch if you're interested in robotics x m…,0
“My partner of many years died at home following a long illness. I wrote the poem ‘I Love You’ as a way of remembering—and ma…,0
Learn about our  Program's first test flights of Boeing’s Starliner and SpaceX’s Crew Dragon and what…,0
"From trying on spacesuits to preparing for potential emergencies, see how astronauts are getting ready to fly on the t…",0
"Evan, who is nominated in the Best Actress, Drama Category for her role as Dolores in HBO's Westworld, is wearing a bl…",0
So f******g blessed!!! flushed_face face_with_tears_of_joy What a thrill. Could not be more proud of  and #Maeve. Humbled and full of love. Wi…,0
 no worry Fontain is sexy,0
"Rob and Gareth from Knife Party / Pendulum are doing a podcast-ish type stream thing, LIVE - today / tonight!

Wednesda…",0
"Our team will be at the Self-Driving Car Meetup in London on Thursday night, with Jeff Hawke giving a talk about our work usi…",0
"Knifecast will be LIVE in: 5 hours from now. Gather around the fireplace with some gin, bring your pipe or perhaps a qu…",0
"Some BIG names have taken part in 60 yrs of -, incl , , …",0
"Knifecast will be LIVE in: 3 hours from now.

Wednesday 19th
• 4 PM (Pacific)
• 7 PM (Eastern)
• Midnight (UK / BST)

W…",0
"Knifecast will be LIVE in: 2 hours...

Wednesday 19th
• 4 PM (Pacific)
• 7 PM (Eastern)
• Midnight (UK / BST)

We'll tw…",0
"Knifecast will be LIVE in: 1 hour...

Are these posts getting tedious yet? Don't blame me, I'm just a robot

STREAM LIN…",0
"Knifecast will be LIVE in: 30 minutes, but you can join us right now for some elevator music if you like.

STREAM LINK:…",0
"ain't washed in 3 days, eat some ass at the rave! #dubstep",0
"While we're known for studying the far reaches of the universe, thousands of NASA-influenced technologies are right here on Earth…",0
Have been making serious progress on OpenAI Five. Looking for Dota teams with average MMR 6.5k+ or Tier 3 and higher to test the l…,0
"There Is a Crack in Everything, That’s How the Light Gets In – Leonard Cohen, who would have been 84 today, on democracy a…",0
"NEAT (NeuroEvolution of Augmenting Topologies) is now available to work with PyTorch, thanks to Alex Gajewski …",0
" GOP on Bill Cosby: Thank god they finally got him 35 years later.

GOP on the Catholic Church: Thank god they’re…",0
"Based on our country’s continued counterproductive regime-change war policies, it's clear that leaders on both sides of the…",0
This lady dropped her bus card + $50 on Roma and when I tapped her shoulder to give it back she goes “Don’t pester me” upside-down_face S…,0
The center in America is occupied by a shrinking number of conservatives and liberals who do not think it is Armageddon i…,0
I'm gonna say it. Beto O'Rourke makes me uncomfortable. It's not that his rhetoric feels performative. It's that it IS perform…,0
  I'll really miss hearing him yelling at clouds.,0
"The trade war? No problem, says Hu Xijin, editor in chief of Global Times. ""Maybe the growth rate will slow one percent.…",0
 If sexual assault is as common as Rep. Steve King says it is (and it is) then he should have no trouble believing Dr…,0
"My latest op ed:

“I was sexually assaulted as a teen. Here’s why I didn’t report.”

It took me 30 years to tell anyone.…",0
"Don’t let this go unnoticed: the Violence Against Women Act, which helps survivors of domestic abuse and sexual assault,…",0
red_heart this tweet to get a link to register to vote and an Election Day reminder on 11/6. Your voice is only as loud as your vote. #Na…,0
Blessed are those who can give without remembering and take without forgetting. Bernard Meltzer,0
"What was the first comic book you were introduced to?

Today is #NationalComicBookDay.  Before ,  was in…",0
"SOF Truth II: Quality is better than quantity. A small number of people, carefully selected, well trained, and well led, are p…",0
"“All right, sweethearts, what are you waiting for? Breakfast in bed? Another glorious day in the Corps. A day in the Ma…",0
  Satirists have been put out of work by reality.,0
"Trump begins his UN speech by saying his administration has accomplished more than ""almost any administration in the history of…",0
"US President : ""I didn't expect that reaction.""

#UNGA laughs after Trump claims his ""administration has acc…",0
"Knifecast will be streaming TONIGHT! With a special guest. At the new time of...

Wednesday 26th
• 2 PM (Pacific)
• 5 P…",0
There are mechanics of leading and there is “art.” The art of leading is balancing the needs of individuals with the ne…,0
"Q: Should there be a full FBI investigation into Kavanaugh’s past?

 - “it would sure clear up all the ques…",0
   Ummm ... sorta walked into that one. The Senate certainly had the right to not confirm Gar…,0
The guy who took this picture is your definition of underemployed. Day starts at 5:30am to sell coffee outside a well know…,0
Heterosexuality must be so fragile if kids are ‘indoctrinated’ into ‘gay lifestyles’ by just seeing gay people kiss in publi…,0
"Jeanine Pirro just said that Ford might have been hypnotized into telling her story

This is Fox News

At 5 o'clock

On…",0
"I have learned
To look on nature, not as in the hour
Of thoughtless youth, but hearing oftentimes
The still, sad music of h…",0
"April is the cruellest month, breeding
Lilacs out of the dead land, mixing
Memory and desire, stirring
Dull roots with spri…",0
"Knifecast will be LIVE in: 1 hour...

Wednesday 26th
• 2 PM (Pacific)
• 5 PM (Eastern)
• 10 PM (UK / BST)

STREAM LINK:…",0
"“There is no sacrifice too great for a chance at immortality.” - Humphrey Bogart as Dixon Steele, In a Lonely Place (19…",0
Withdraw now. Because the safety and dignity of women is no longer secondary to the needs of powerful men. #TIMESUP http…,0
A 92-year-old woman has been buried in Nebraska with British military honors for a secret that she held for decades: h…,0
" Did he question their silence, tell them boys will be boys? Did he immediately go to the police? Sigh",0
A reminder that Mitch McConnell said Al Franken was unfit to serve in the U.S. Senate after a series of he-said-she-said ha…,0
"Right now, Hawaii is really winning the Which State Has the Best Senators Competition",0
"“Ms. Swetnick holds active clearances at the Treasury Department, U.S. Mint and Internal Revenue Service. She said in h…",0
Julie Swetnick is a registered voter in Washington not affiliated with any political party. FEC records show no federa…,0
"Pyongyang Film Festival to screen ""The Omen,"" widely praised western horror film concerning demonic child embarking on caree…",0
Brock Turners grow up to be Brett Kavanaughs who make the rules for Brock Turners.,0
"We are, I am, you are
by cowardice or courage
the one who find our way
back to this scene
carrying a knife, a camera
a book o…",0
This is why I have a hard time believing him -- bc he lies so much. The Renate alumni thing is clearly false. Why not just…,0
Canadian Don McKay wins Governor General's award and was one of two recipients of the Griffin Poetry Prize http://tinyurl.com/2mazty,0
The biggest prize for a law school is to have an alum land on the Supreme Court. Yet Yale Law School is urging a delay in…,0
"Today, every woman in America was Dr. Christine Blasey Ford’s co-witness. We believe you. We are with you. #BelieveSurvivor…",0
"I finally read On Writing, Stephen King's classic book on learning to write good. It is excellent, and worth it for all…",0
"Aligning PIP-II milestones with our UK partners. Thank you, Peter, Phil, Shrikant (Anthony, Tim not shown), for a producti…",0
"So, if the FBI finds out that Kavanaugh lied under oath about almost anything, they have to look the other way - because…",0
" Confirmation numbers, Ruth Bader Ginsburg 96-3, Anthony M. Kennedy 97-0, one GOP and one Dem nominee. Amazing…",0
"The Violence Against Women’s Act expires tomorrow and so far not one Republican has signed on as a co-sponsor. 

Let that sink…",0
"   Matt Damon as raging,sniffing Brett Kavanaugh. He killed it &amp; had me rollin' on…",0
And the winner of the “2018 SNL Sean Spicer Emasculation Award” for Best Actress playing a man goes to Kate McKinnon fo…,0
"“I don’t know if Kavanaugh has a history of assault or if he actually has a drinking problem, but I do know that he might…",0
"One of Iraq’s most influential social media stars, model Tara Fares, has been shot dead in Baghdad earlier on Thursday. A p…",0
Imagine how beautiful it would be to have someone in this world as intelligent and interesting as Kanye thinks he is,0
The last eight years have been Kanye trolling us after MBDTF wasn't even nominated for album of the year.,0
Wish I was shocked by Mac Miller’s death. Wish people understood how to support them. In and out of the game. Wish more…,0
"    “For women” on the reflection eternal album, possibly one of the greatest “c…",0
Kellyanne Conway is a victim of sexual abuse and she works for the president because he didn't do it to her. Let that sink in.…,0
"Lt. Col. Patrick Schreiber, a retired Kansas Army officer, has lost his fight in federal court over his adopted daught…",0
"I don't always agree with , but he's on target here. Whether in debate tournaments or on Capitol Hill, we've allo…",0
Conservatives who loved my Clinton antipathy and Russiagate skepticism have mass-unfollowed and denounced because they can’t h…,0
We're at #IROS2018 in Madrid this week. Come and chat to us about our work on end-to-end deep learning for self driving cars!…,0
"It took me 5 years to say anything.
I was 12 years old.
I was in a residential treatment center.
It would have been the…",0
"    Hahahahahahabbahaahhahahahahahhahahahahahahahahahahahahahahahaha

I…",0
"64 million children of primary school age 
61 million adolescents of lower secondary age  
138 million youth of upper s…",0
It's the #NASA60th anniversary -- and what a great 60 years it has been. What have we done and where are we going? Here's a look…,0
Excited about the release of fastai v1! fastai is the 1st deep learning library to provide a single consistent (&amp; state-of…,0
We just open sourced the PyTorch Geometry package. A geometric computer vision library for . Give it a shot and don'…,0
"Knifecast will be streaming TONIGHT! 

We'll be speaking with our friend and former-bandmate  

Wednesd…",0
I've got  winning the #ALWildCard on TBS. #PinstripePride,0
"Knifecast will be LIVE in: 1 hour...

Wednesday 3rd
• 2 PM (Pacific)
• 5 PM (Eastern)
• 10 PM (UK / BST)

STREAM LINK:…",0
"As  Yousafzai begins her second year at university, in the November issue of  on newsstands this F…",0
We are delighted to welcome into the collection a portrait of #Malala Yousafzai by acclaimed Iranian-born artist and filmmak…,0
The Soyuz crew ship parachutes have deployed slowing the Exp 56 crew's descent back to Earth. They are headed for a land…,0
"There’s no place like home! Earth has 3 more people on it as ,  and  land at 7:44am ET after a…",0
"I'm extremely excited to officially announce our new library, GPyTorch, which has just gone beta! Scalable Gaussian proces…",0
"This is major. John Paul Stevens states that Brett #Kavanaugh's performance was DISQUALIFYING.

Stevens is one of the…",0
" I did think it was interesting to hear what Stevens had to say, just as someone whose had the job and is 98 ye…",0
"What do 
-The Catholic Journal
-The largest organization of Christian churches
-Former Supreme Court Justice John Paul Stev…",0
"Nearly 1,000 law professors have signed an open letter to the US Senate stating that Brett Kavanaugh lacks the “judicia…",0
"The ABA Standing Committee on the Federal Judiciary has sent a letter to  , regarding the re-opening of their eval…",0
"''The UK is one of the least racist societies across Europe"" 

""It's funny that you're a white man saying that! How ar…",0
"Muslim woman in #Hijab makes valid points and audience members tell her to calm down. Funny that, Muslim woman who doesn’t…",0
“Whatever is begun in anger ends in shame” (Ben Franklin). Responsible leaders temper emotions not stoke them. They res…,0
"The worst part about these #KavanaughHearings (and its all terrible) is that the parties have divided us so much that, go…",0
"Dozens of men are being arrested in D.C. right now for protesting Kavanaugh’s confirmation. 

Imagine if our Senators sto…",0
"You know your country is failing the people when the Bar Association must do what the Senate should have done, and prop…",0
"""No private company can continue operations"" in the U.K. if it becomes unprofitable, Koji Tsuruoka told reporters afte…",0
Just a reminder that Susan Collins called on Al Franken to resign without the so-called due process and presumption of i…,0
"The U.S. is the top producer of natural gas in the world today thanks to our abundant resources, new discoveries, and i…",0
My simple Rapture and Columbia illustrations sparklessmiling_facetwo_hearts    #rapture #bioshock #columbia #bioshockinfinite…,0
"Please join me, and our family in London on 10 November for a special event to celebrate the launch of my book #LetHe…",0
Enjoyed my meeting with  Deputy Minister Yamawaki and Director General Isogai where we discussed internation…,0
We want girls to take part in creating the technology that will change our world — and who runs it. Read ’s new repo…,0
"Italy Meet A/Prof Anna Grassellino (), tech. division deputy director . AG discovered that nitrogen doping…",0
"Knifecast will be LIVE in: 4 hours from now, with .

Wednesday 10th*
• 2 PM (Pacific)
• 5 PM (Eastern)
• 1…",0
"., right, and cosmonaut Alexey Ovchinin, left, embrace their families after landing in Baikonur, Kazakhstan. Hague and…",0
 I included this little reference on my save the dates for my wedding. I can’t wait for my guests to ask where I got th…,0
"“Wassily Kandinsky has long been widely regarded as the forefather of abstraction, but as the shows of af Klint’s work cle…",0
 Trump sure knows how to talk to the home state of Grant.,0
